Tipo NI;CNPJ;Período de Apuração;Data de Transmissão;Hora Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;9,47168E+12;01/05/2025;23/06/2025;23:28:52;eSocial, REINF CP, REINF RET, MIT;eSocial, REINF CP, REINF RET, MIT;Retificadora;Ativa;R$ 50.864,25;R$ 50.864,25
CNPJ;1,0999E+13;01/06/2025;07/07/2025;14:45:02;Geral;eSocial;Original;Ativa;R$ 3.105,95;R$ 3.105,95
CNPJ;1,07887E+13;01/09/2025;07/10/2025;10:45:58;Geral;eSocial;Original;Ativa;R$ 863,38;R$ 863,38
CNPJ;1,07887E+13;01/08/2025;09/09/2025;11:35:31;Geral;eSocial;Original;Ativa;R$ 824,81;R$ 824,81
CNPJ;1,07887E+13;01/07/2025;15/09/2025;14:53:38;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 1.081,75;R$ 1.081,75
CNPJ;1,07887E+13;01/06/2025;08/07/2025;11:24:04;Geral;eSocial;Original;Ativa;R$ 1.053,11;R$ 1.053,11
CNPJ;1,07887E+13;01/05/2025;10/06/2025;11:52:52;Geral;eSocial;Original;Ativa;R$ 1.121,58;R$ 1.121,58
CNPJ;1,04718E+13;01/09/2025;17/10/2025;10:52:05;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 5.713,52;R$ 5.713,52
CNPJ;1,04718E+13;01/08/2025;16/09/2025;18:11:38;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 6.146,68;R$ 6.146,68
CNPJ;1,04718E+13;01/07/2025;18/08/2025;17:55:55;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 6.029,09;R$ 6.029,09
CNPJ;1,04718E+13;01/06/2025;16/07/2025;15:49:47;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 5.654,13;R$ 5.654,13
CNPJ;1,04718E+13;01/05/2025;17/06/2025;18:37:53;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 6.839,55;R$ 6.839,55
CNPJ;1,13181E+13;01/09/2025;03/10/2025;15:26:25;Geral;eSocial, REINF CP, REINF RET, MIT;Retificadora;Ativa;R$ 6.426,15;R$ 6.426,15
CNPJ;1,13181E+13;01/07/2025;11/08/2025;10:11:36;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 8.351,69;R$ 8.286,69
CNPJ;1,13181E+13;01/06/2025;03/07/2025;16:36:14;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 7.781,52;R$ 7.716,52
CNPJ;1,13181E+13;01/05/2025;05/06/2025;11:09:23;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 7.816,17;R$ 7.751,17
